crime_count_500m,violent_count_500m,PIN
0,0,3840700593
33,2,1493300125
58,0,0216000035
67,5,1232001630
0,0,6883800010
53,3,7595700265
64,2,5101401864
0,0,2574900085
12,3,3438502026
26,0,7550800575
84,22,3812400568
32,3,0393000080
0,0,2174501415
46,2,7549801880
94,1,3626039315
17,0,3179101150
0,0,7539850170
102,8,5370200205
101,8,5370200205
428,40,8823901335
14,0,9161100516
197,22,7996710180
41,1,9212900770
527,48,6851700278
81,3,6166900035
148,18,3448001080
0,0,3261010410
17,2,2124049071
129,25,2724049131
0,0,7351200120
13,0,8081900211
22,3,3034200045
59,0,6819100375
417,21,5457300817
215,17,2767603355
120,14,8822901342
176,23,1607100047
55,0,3856904600
0,0,7211401976
66,4,1232001530
119,14,8822901338
234,10,5101408460
227,9,5101408462
9,1,1118000395
78,6,7156200015
107,12,2926049602
0,0,3537900116
14,0,4154305065
83,14,7548300135
165,5,2916200160
29,2,9215400321
35,0,3592501075
148,9,9828200820
140,8,9352900685
8,1,2741100850
101,24,8113100080
53,4,7518508525
0,0,2018700046
422,18,5457800671
4,0,0579001605
72,8,3052700533
295,32,9826701186
148,13,2767602380
0,0,0191100460
10,1,2102700020
7,0,1563101800
40,7,6437400021
175,9,2919200190
93,2,2770601824
159,13,7904700139
142,7,9521100724
27,4,0431500270
49,6,0107000010
0,0,4188400020
0,0,6699100020
45,1,7015200645
0,0,5450300060
27,0,7129302190
50,1,9136100035
28,0,7424700125
20,4,3878900754
2,0,7694600342
68,8,1109000450
112,5,6145601289
7,0,5418500700
24,1,4364200090
140,8,9521100727
99,6,6716700730
11,0,7211400916
67,0,1912100215
0,0,2837700035
7,0,5418500170
99,3,2461900170
24,0,7549800637
0,0,3026059168
0,0,3026059011
69,2,4083302940
228,14,0789000200
38,0,5101405144
34,4,7974200782
128,17,1703401050
298,12,9528102891
14,0,0714000190
18,0,5316100780
8,0,8820902260
19,0,2624039123
20,0,6616000050
149,15,3881900621
52,5,7891600235
35,6,9273200030
34,0,0034001875
39,0,5100403309
254,14,6431500130
32,4,2124049276
20,1,4250900105
4,0,0325049231
14,1,1370803550
61,13,7660100130
202,9,3303700516
0,0,1300302336
55,0,5017000580
0,0,1447600365
84,8,1862400440
59,1,9530101510
266,30,6046400455
126,5,9550204190
8,0,0464000996
45,0,7550800160
64,2,1176001233
230,29,6145601819
64,1,2708100140
39,0,9557200025
59,2,2994800010
68,3,1982200165
0,0,1300302332
22,1,2267000537
60,7,3336002160
46,2,2878601260
67,5,7518502870
26,1,5583200270
108,6,0066000350
201,10,3303700514
20,0,6821101380
54,0,9376300035
112,3,5113400595
41,2,3468800190
46,3,1053000135
186,22,1982201220
0,0,6396000080
31,1,7547300210
81,7,3052700124
54,1,3592500225
170,28,3395070650
3,0,6613001245
251,24,4310702948
38,2,0260000050
107,7,8818400195
70,5,9828701120
60,11,7621700125
202,18,4365700110
43,1,7972604492
129,18,3448000167
0,0,7889600595
160,2,9494700006
9,0,4059400435
145,5,0832700100
24,1,3181100050
149,3,9445300030
69,2,5101402388
67,5,2880100220
28,1,3624039083
267,30,0993000183
25,1,3992700038
78,3,7011201282
170,7,5694500496
252,13,3658700760
13,0,1102001212
46,0,0125039034
130,10,1972200190
28,2,8122100530
210,5,8615800185
48,2,8911000100
72,8,3052700531
216,5,8615800152
21,0,3732800125
135,13,2767602185
6,0,6385000145
127,17,9376300853
12,0,2864600150
129,2,0809001045
17,1,5476200192
159,10,7663700784
15,0,0714000400
25,0,7915100100
111,1,1959700860
291,34,9826701190
13,0,2487200485
322,30,4365700160
0,0,9207000069
0,0,8887000095
24,1,9320350080
0,0,1300301085
9,0,2597800036
18,4,0555000090
50,6,2112700224
0,0,8907610010
116,3,2770604555
54,4,5101408676
53,5,9363600285
138,8,9521100728
35,2,5700001715
9,0,6450302220
111,4,3362400829
41,2,9164100185
118,4,2917200316
7,0,1563101165
11,2,5207200115
440,19,5457800670
116,24,7950303300
28,2,4375700060
48,2,7549801883
22,3,4174600205
19,3,4174600205
153,15,7234600838
29,2,7010700045
39,5,3224049109
72,3,0066000075
1,0,0423049045
93,4,0809003515
54,3,2768200005
22,0,6908200535
157,9,3863400030
30,0,1118001735
